id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
109459,Little Town Hero,https://www.igdb.com/g/2cgj,9.3,Main Game,"[""Oct 17, 2019 (Worldwide [WW])"", ""Oct 16, 2019 (North America [NA])"", ""Oct 16, 2019 (Europe [EU])"", ""Jun 22, 2020 (Worldwide [WW])"", ""Jun 23, 2020 (Worldwide [WW])"", ""Jul 09, 2020 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One""]","[""Role-playing (RPG)""]",[],"[""Game Freak"", ""NIS America"", ""Rainy Frog""]",
103301,Wolfenstein: Youngblood,https://www.igdb.com/g/27ph,6.17385090288578,Main Game,"[""Jul 26, 2019 (North America [NA])"", ""Jul 25, 2019 (Worldwide [WW])"", ""Jul 26, 2019 (Worldwide [WW])"", ""Jul 26, 2019 ()"", ""Nov 19, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Google Stadia"", ""Xbox One""]","[""Adventure"", ""Shooter""]","[""Action"", ""Science fiction""]","[""Arkane Studios"", ""MachineGames"", ""Bethesda Softworks""]",
85663,Mario Kart Tour,https://www.igdb.com/g/1u3j,5.753635196312584,Main Game,"[""Sep 25, 2019 (Worldwide [WW])"", ""Sep 25, 2019 (Worldwide [WW])""]","[""Android"", ""iOS""]","[""Racing""]","[""Action""]","[""DeNA"", ""Nintendo"", ""Nintendo Entertainment Planning & Development"", ""Bandai Namco Studios""]",
119385,Contra: Rogue Corps,https://www.igdb.com/g/2k49,3.769839030202159,Main Game,"[""Sep 24, 2019 (North America [NA])"", ""Sep 24, 2019 (North America [NA])"", ""Sep 26, 2019 (Europe [EU])"", ""Sep 24, 2019 (Worldwide [WW])"", ""Sep 24, 2019 ()"", ""Sep 24, 2019 ()""]","[""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One""]","[""Arcade"", ""Platform"", ""Shooter""]","[""Action""]","[""Konami""]",
121435,WWE 2K20,https://www.igdb.com/g/2lp7,5.53242486385831,Main Game,"[""Oct 22, 2019 (Worldwide [WW])"", ""Oct 22, 2019 (Worldwide [WW])"", ""Oct 22, 2019 (Worldwide [WW])""]","[""PC (Microsoft Windows)"", ""PlayStation 4"", ""Xbox One""]","[""Simulator"", ""Sport""]","[""Action"", ""Non-fiction""]","[""2K Sports"", ""Visual Concepts"", ""2K""]",
171233,Deltarune,https://www.igdb.com/g/3o4h,8.403631018053607,Main Game,"[""Jun 04, 2025 (Worldwide [WW])"", ""Jun 04, 2025 (Worldwide [WW])"", ""Jun 04, 2025 (Worldwide [WW])"", ""Jun 05, 2025 (Japan [JP])"", ""Jun 05, 2025 (Japan [JP])"", ""Jun 05, 2025 (Japan [JP])"", ""Jun 05, 2025 (Japan [JP])"", ""Jun 05, 2025 (Japan [JP])"", ""Jun 05, 2025 (Worldwide [WW])"", ""Jun 04, 2025 (Worldwide [WW])"", ""Jun 04, 2025 (Worldwide [WW])""]","[""Mac"", ""PlayStation 5"", ""Nintendo Switch 2"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4""]","[""Adventure"", ""Indie"", ""Music"", ""Puzzle"", ""Role-playing (RPG)"", ""Turn-based strategy (TBS)""]","[""Action"", ""Comedy"", ""Drama"", ""Mystery""]","[""tobyfox"", ""8-4""]",
26226,Celeste,https://www.igdb.com/g/k8i,8.671592117952466,Main Game,"[""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jan 25, 2018 (Worldwide [WW])"", ""Jul 28, 2020 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Google Stadia"", ""Xbox One"", ""Linux""]","[""Adventure"", ""Indie"", ""Platform""]","[""Action"", ""Fantasy""]","[""Extremely OK Games"", ""Maddy Makes Games"", ""Sickhead Games""]",
103340,Xenoblade Chronicles 2: Torna '- The Golden Country,https://www.igdb.com/g/27qk,9.238699170052774,Standalone Expansion,"[""Sep 14, 2018 (Worldwide [WW])"", ""Jul 30, 2026 (Worldwide [WW])""]","[""Nintendo Switch 2"", ""Nintendo Switch""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy"", ""Science fiction""]","[""Nintendo"", ""Monolith Soft""]",
281562,Judgment,https://www.igdb.com/g/6196,8.379225891985437,Remaster,"[""Apr 23, 2021 (Worldwide [WW])"", ""Sep 14, 2022 (Worldwide [WW])"", ""Apr 23, 2021 (Worldwide [WW])"", ""Apr 23, 2021 (Worldwide [WW])""]","[""PlayStation 5"", ""Xbox Series X|S"", ""PC (Microsoft Windows)"", ""Google Stadia""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Mystery"", ""Thriller""]","[""Sega Games"", ""Sega"", ""Ryu Ga Gotoku Studio""]",
109274,Judgment,https://www.igdb.com/g/2cbe,8.359375256300831,Main Game,"[""Jun 25, 2019 (North America [NA])"", ""Jun 25, 2019 (Europe [EU])"", ""Dec 13, 2018 (Japan [JP])"", ""Dec 13, 2018 (Asia [AS])""]","[""PlayStation 4""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Drama"", ""Mystery"", ""Thriller""]","[""Sega Games"", ""Sega"", ""Ryu Ga Gotoku Studio""]",
90101,Super Smash Bros. Ultimate,https://www.igdb.com/g/1xit,8.654544414066981,Main Game,"[""Dec 07, 2018 (Worldwide [WW])"", ""Oct 25, 2022 (Brazil [BR])""]","[""Nintendo Switch""]","[""Fighting"", ""Platform""]","[""Action"", ""Fantasy"", ""Party"", ""Science fiction""]","[""Sora"", ""Bandai Namco Studios"", ""Nintendo""]",
26951,Pillars of Eternity II: Deadfire,https://www.igdb.com/g/ksn,8.263622839191967,Main Game,"[""Jan 28, 2020 (Worldwide [WW])"", ""May 08, 2018 (Worldwide [WW])"", ""May 08, 2018 (Worldwide [WW])"", ""Jan 28, 2020 (Worldwide [WW])"", ""May 08, 2018 (Worldwide [WW])"", ""2022 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One"", ""Linux""]","[""Adventure"", ""Role-playing (RPG)""]","[""Action"", ""Fantasy""]","[""Versus Evil"", ""Obsidian Entertainment"", ""Red Cerberus""]",
71628,The Messenger,https://www.igdb.com/g/1j9o,7.934420991111622,Main Game,"[""Jun 25, 2020 (Worldwide [WW])"", ""Mar 19, 2019 ()"", ""Aug 30, 2018 (Worldwide [WW])"", ""Jan 23, 2025 (Worldwide [WW])"", ""Aug 30, 2018 (Worldwide [WW])""]","[""PlayStation 5"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""PlayStation 4"", ""Xbox One""]","[""Adventure"", ""Arcade"", ""Indie"", ""Platform""]","[""Action"", ""Comedy""]","[""Sabotage"", ""Devolver Digital""]",
27117,Into the Breach,https://www.igdb.com/g/kx9,8.245627391367133,Main Game,"[""Jul 19, 2022 (Worldwide [WW])"", ""Jul 19, 2022 (Worldwide [WW])"", ""Feb 27, 2018 (Worldwide [WW])"", ""Apr 20, 2020 (Worldwide [WW])"", ""Dec 01, 2020 (Worldwide [WW])"", ""Aug 28, 2018 (Worldwide [WW])"", ""Feb 27, 2018 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)"", ""Android"", ""Nintendo Switch"", ""Google Stadia"", ""iOS"", ""Linux""]","[""Indie"", ""Puzzle"", ""Role-playing (RPG)"", ""Simulator"", ""Strategy"", ""Turn-based strategy (TBS)""]","[""Science fiction""]","[""Subset Games""]",
